fraction,k,jaccard_mean,jaccard_median,jaccard_p05,jaccard_p95,jaccard_min,jaccard_max,concentration_mean,concentration_median,concentration_p05,concentration_p95,concentration_min,concentration_max
0.25,100,0.9400167460561523,0.941747572815534,0.9047619047619048,0.9607843137254902,0.9047619047619048,0.9607843137254902,0.9363208123838337,0.9362886424486199,0.9334572100294198,0.939783886392416,0.9322100902182762,0.9407127875313082
0.25,500,0.9281384615813696,0.9305019305019305,0.9082151944747364,0.941747572815534,0.9047619047619048,0.9455252918287937,0.982184288397043,0.9822671814303294,0.9813823627129987,0.9829910257427055,0.981131288935443,0.9833797696780245
0.25,1775,0.9320686210755612,0.9324986390854655,0.9240671252866375,0.94100442900845,0.9220357336220899,0.9441401971522454,0.9959049359818494,0.9959060703642943,0.995723002260623,0.9960794893007714,0.9956375116285118,0.9961919884642534
0.5,100,0.9696061467940055,0.9801980198019802,0.941747572815534,1.0,0.941747572815534,1.0,0.9366739667006385,0.9365988395913422,0.9351845528085115,0.9384704410814448,0.9346223335140427,0.9387976939132071
0.5,500,0.9589800530555891,0.9607843137254902,0.9491281164432915,0.968503937007874,0.941747572815534,0.9723865877712031,0.9822121175144716,0.9822039970786386,0.9817776501176829,0.9826585266911567,0.9817258075737422,0.9827959769128178
0.5,1775,0.9605475404260602,0.9602429596907786,0.9558690125119841,0.9657244396180169,0.9505494505494505,0.9667590027700831,0.9958907377167382,0.9958905034358081,0.9957894763557545,0.9959998491054181,0.9957571138888657,0.9960225458098326
0.75,100,0.981741409435061,0.9801980198019802,0.9607843137254902,1.0,0.9607843137254902,1.0,0.9367497565651467,0.9367495467875474,0.9359401585014147,0.9376317980898594,0.9356232095743796,0.9381971095958466
0.75,500,0.976596994839802,0.9762845849802372,0.9646365422396856,0.9841269841269841,0.9646365422396856,0.9880715705765407,0.9822122539832108,0.9822283988909686,0.9819806918571835,0.9824689480186273,0.9817748790448362,0.9825643286611145
0.75,1775,0.9780226915670782,0.9777158774373259,0.9733185102834908,0.9821882534959091,0.9722222222222222,0.9832402234636871,0.9958821354766918,0.9958840852012809,0.9958250192760705,0.9959406486532403,0.9957818451791646,0.9959603344573371
