fraction,n_activation_rows,unit_count,median_activation_energy_relative_std,p90_activation_energy_relative_std,mean_activation_energy_relative_std,median_combined_relative_std,p90_combined_relative_std,mean_combined_relative_std
0.25,1,2295,0.0,0.0,0.0,1.7541160386140584,2.1989008243131014,1.8282724918596096
0.25,2,1719,0.0029316358104462545,0.1703292554521616,0.04807331993826947,1.2403482910880477,1.524168734887595,1.2622162710327156
0.25,3,1308,0.0045170289037398115,0.254293638615615,0.07046229794317442,1.012191166588075,1.2256669039831982,1.0247166107502508
0.25,4,1104,0.005311449595191117,0.25297996737393663,0.0761249551391075,0.8772973338211525,1.06672518122133,0.8943733611257597
0.25,5,849,0.004980684411166418,0.2897307779134518,0.08594330395609041,0.7859058129217279,0.9423538038603386,0.803520335361997
0.25,6,798,0.0038913628266628694,0.197291705764054,0.05758983607800072,0.7149804295261386,0.8557383288717684,0.7248628731715382
0.25,7,651,0.0033125402688666946,0.1995985495736453,0.059442729967018,0.6678532338840474,0.7777222219014146,0.6701430555268787
0.25,8,624,0.003549308620983415,0.20658038280333652,0.06177277964838366,0.6213586533692244,0.7317736508861066,0.6257781058305562
0.25,9,507,0.004282708898205956,0.22979898667810533,0.06459566397282707,0.587531076017574,0.6979154219998525,0.5894057723826089
0.25,10,498,0.003461234095155684,0.15755320612196702,0.047326421445880985,0.5527461407096399,0.6492939629643762,0.5572583763606167
0.25,11,483,0.002767668876720373,0.1687337948209308,0.050362091273887216,0.5256490207005999,0.6076992748402843,0.5258192839153571
0.25,12,375,0.0033396232604665683,0.16519403633949326,0.05012409318907072,0.500162423031974,0.5919506740338889,0.50920244901671
0.25,13,375,0.0032410361793877656,0.17316452028287313,0.0539523192026031,0.48961566957548386,0.5754417385776107,0.4935448557320618
0.25,14,375,0.0024856020273431767,0.1500932286966273,0.04403672834425247,0.4680754836635112,0.543760884838058,0.47011188033247087
0.25,15,375,0.002434279352670739,0.1627148933364873,0.050897946785983236,0.4472955776387524,0.5321399745066578,0.45457764699029213
0.25,16,297,0.0028002240259119124,0.15845244074298798,0.04906661588778335,0.4384748097916212,0.5089038202174231,0.4412892625819715
0.25,17,327,0.003064350270423943,0.17076109818562868,0.057884092864367825,0.4329123466031499,0.5100104575715387,0.4400855596521073
0.25,18,273,0.00201920531027863,0.14101509141973245,0.04369788975832069,0.4075462704591173,0.47980832413470514,0.41282245599614004
0.25,19,309,0.002030498301442085,0.15161663168125766,0.04296037741091846,0.40418538572108204,0.4710960075115774,0.40421532502421237
0.25,20,249,0.002566422252682521,0.1450620200788097,0.043140333826153815,0.39903378848937787,0.460436662647341,0.3973052987197888
0.25,21,231,0.0025899643375592797,0.14635533817711618,0.04300603915938869,0.3773703066117401,0.4427783109389615,0.3813687840502452
0.25,22,255,0.002463537526766302,0.11112782114024158,0.03431031145600242,0.36681873438499446,0.4314161253805364,0.3698086885796572
0.25,23,225,0.0026134949537182767,0.11938241705745482,0.03714683021895531,0.36218000338008705,0.4223756482560777,0.365204908886527
0.25,24,198,0.0017612698407285354,0.12014690327863625,0.03675313597450782,0.35534670448617744,0.42004492461965004,0.3595122272099138
0.25,25,183,0.0019168993214861618,0.13426061427580746,0.04416703992175147,0.35324038160473725,0.40565518191235217,0.3587158435080044
0.25,26,180,0.0020081471864387525,0.10877935075639171,0.032807657355841784,0.3443895908625799,0.39396246521088335,0.3433682811857518
0.25,27,195,0.0020236502067296023,0.12488656660311359,0.03928645665517836,0.33788990297046206,0.38763565057525795,0.34057210848305725
0.25,28,168,0.0017668589399638542,0.13957927809976145,0.03957961098859973,0.3349967989425517,0.3819987651502033,0.3341645874765477
0.25,29,171,0.001976263790174222,0.12690612614172442,0.03722162270098703,0.328928354578846,0.3759101432907782,0.32999033663117655
0.25,30,165,0.002305706981005729,0.137288931933702,0.03938383589034634,0.3200653733226148,0.3786260681266866,0.32550692848022333
0.25,31,114,0.0014289610460964093,0.11137710455304421,0.035265919387303654,0.31585022184154854,0.3648592944588149,0.31641774324463057
0.25,32,156,0.0018622095651096569,0.11561975392972465,0.03362016983870882,0.30594358881783806,0.360329875765214,0.31168864276962066
0.25,33,129,0.0017062012296827612,0.10729763202990196,0.03169491838401379,0.3092882458718396,0.35101170462122216,0.311557449595319
0.25,34,144,0.002211429493254988,0.12256864549970839,0.03651031219321253,0.30518576045323575,0.3490411680342608,0.3063960582403206
0.25,35,138,0.002465187361516661,0.11865807077553599,0.033151964692512435,0.29553397723148606,0.33797145050120414,0.297091099125742
0.25,36,126,0.002405652402177629,0.1080461209565502,0.03245535705826081,0.28805123646642894,0.3406444097638055,0.2929588721687119
0.25,37,102,0.0016866916142655331,0.11024602954729884,0.03333938576214988,0.28418905868043076,0.3237989960120626,0.28669506389761606
0.25,38,129,0.0017777125805886473,0.11957838910835461,0.033882070454355026,0.29067346320615073,0.3277028330141233,0.28801353227250676
0.25,39,90,0.0011670161498660465,0.1001384344728325,0.029772421297338716,0.28415538116780104,0.32924061079874967,0.28474463061079447
0.25,40,75,0.001528129987003969,0.10821717157087578,0.035567499672710334,0.27819160711005814,0.3204612501776919,0.2779627483589028
0.25,41,114,0.0017866490697957583,0.09011359900836434,0.030915954622359198,0.26668694905473855,0.31053383377463306,0.27231246798307535
0.25,42,123,0.0013606181340916194,0.090368301497266,0.02857340242859344,0.27022267420335505,0.31553308460662816,0.27160440907001293
0.25,43,87,0.001995678010037294,0.0911957051205635,0.02543947903369014,0.2631988264348222,0.30434065740283595,0.2645661712482784
0.25,44,87,0.0016194629740076455,0.10456317805595099,0.03357493660375501,0.2631528896490356,0.2988543165804806,0.2653350896491339
0.25,45,120,0.0013978928069864878,0.11811271309088045,0.031889947206543166,0.2617096306291601,0.3100995208005221,0.2646764523572492
0.25,46,84,0.0015648582426938122,0.10008168313898506,0.030276224485110702,0.256660261176047,0.30844631155595287,0.26097573868961393
0.25,47,93,0.00170135027766224,0.11387100227313471,0.03425757417766365,0.2556472145539891,0.2920490654174509,0.25659528816461075
0.25,48,96,0.001327549122094709,0.09145371811494377,0.028732799210033255,0.24835597355357797,0.29074504792877187,0.25160946698326975
0.25,49,132,0.0014846937758131208,0.09751132448517952,0.028910816676654152,0.25501361589306937,0.28721602954926445,0.2510138994772091
0.25,50,81,0.001929144281842022,0.10568397749948401,0.028682927557293514,0.2482640780053611,0.2827971530019016,0.24967151913058913
0.25,51,87,0.001198159431152532,0.08947951479863168,0.026272654276995412,0.24719905616458598,0.2895827194689816,0.24924635602004427
0.25,52,81,0.0013146034300662345,0.08636919645275346,0.028940322470427614,0.24569295687889678,0.275551304392737,0.24740734198062264
0.25,53,84,0.0013416753014630523,0.09669970408193493,0.028105699238109166,0.2454272290177656,0.27649234043933735,0.2433713513624782
0.25,54,63,0.0011971054882610353,0.08139353585972191,0.02973185128736043,0.24063089896282405,0.26777939562210634,0.2387557849854489
0.25,55,99,0.0014152731865289183,0.07960419715308513,0.025777910177895845,0.23882715929308684,0.2790447938943927,0.23959491845949393
0.25,56,66,0.0014285264821559882,0.07431110609725726,0.02356189651157798,0.22370413274298723,0.26425093615817785,0.22834695007231204
0.25,57,51,0.0013492397546156047,0.06613899856201674,0.02068350934394113,0.23053300310838784,0.2684638650071927,0.23294530672939937
0.25,58,66,0.0012926238485849362,0.08253998482825833,0.025360187174167017,0.2302144296297506,0.2520162728553129,0.22838259033661976
0.25,59,66,0.0015462360641070863,0.10625443786357192,0.02868987632898205,0.23161098256133716,0.2687296357538653,0.23337481678009786
0.25,60,99,0.0012280593159533,0.08482260177668474,0.024109165586844318,0.22454659304979124,0.2658363496792104,0.22839606003818372
0.25,61,57,0.0014641578204671866,0.07798128446267434,0.026297900516676458,0.23540072825130967,0.27459007248111916,0.23716338790847488
0.25,62,72,0.0012828263595250223,0.08350006268003445,0.023907641544573373,0.22176422406694746,0.25968959008349457,0.22434347663682827
